layout,partner,seed,role_swap,timestep,teacher_role,macro_label,topology,partner_activity,primitive_action,reward
cramped_room,greedy_full_task,67,False,0,0,baseline:greedy_human_model,BOTTLENECK,UNKNOWN,"(0, -1)",0.0
cramped_room,greedy_full_task,67,False,1,0,baseline:greedy_human_model,BOTTLENECK,UNKNOWN,"(-1, 0)",0.0
cramped_room,greedy_full_task,67,False,2,0,baseline:greedy_human_model,BOTTLENECK,PASSIVE,interact,0.0
cramped_room,greedy_full_task,67,False,3,0,baseline:greedy_human_model,BOTTLENECK,FILLING_POT,"(1, 0)",0.0
cramped_room,greedy_full_task,67,False,4,0,baseline:greedy_human_model,BOTTLENECK,FILLING_POT,"(1, 0)",0.0
cramped_room,greedy_full_task,67,False,5,0,baseline:greedy_human_model,BOTTLENECK,UNKNOWN,"(0, 1)",0.0
cramped_room,greedy_full_task,67,False,6,0,baseline:greedy_human_model,BOTTLENECK,UNKNOWN,"(1, 0)",0.0
cramped_room,greedy_full_task,67,False,7,0,baseline:greedy_human_model,BOTTLENECK,FILLING_POT,"(0, -1)",0.0
cramped_room,greedy_full_task,67,False,8,0,baseline:greedy_human_model,BOTTLENECK,FILLING_POT,"(0, -1)",0.0
cramped_room,greedy_full_task,67,False,9,0,baseline:greedy_human_model,BOTTLENECK,FILLING_POT,"(0, -1)",0.0
cramped_room,greedy_full_task,67,False,10,0,baseline:greedy_human_model,BOTTLENECK,FILLING_POT,"(0, -1)",0.0
cramped_room,greedy_full_task,67,False,11,0,baseline:greedy_human_model,BOTTLENECK,FILLING_POT,"(0, -1)",0.0
cramped_room,greedy_full_task,67,False,12,0,baseline:greedy_human_model,BOTTLENECK,FILLING_POT,"(1, 0)",0.0
cramped_room,greedy_full_task,67,False,13,0,baseline:greedy_human_model,BOTTLENECK,FILLING_POT,"(-1, 0)",0.0
cramped_room,greedy_full_task,67,False,14,0,baseline:greedy_human_model,BOTTLENECK,FILLING_POT,"(0, -1)",0.0
cramped_room,greedy_full_task,67,False,15,0,baseline:greedy_human_model,BOTTLENECK,UNKNOWN,"(0, -1)",0.0
cramped_room,greedy_full_task,67,False,16,0,baseline:greedy_human_model,BOTTLENECK,UNKNOWN,interact,0.0
cramped_room,greedy_full_task,67,False,17,0,baseline:greedy_human_model,BOTTLENECK,FILLING_POT,"(1, 0)",0.0
cramped_room,greedy_full_task,67,False,18,0,baseline:greedy_human_model,BOTTLENECK,FILLING_POT,"(-1, 0)",0.0
cramped_room,greedy_full_task,67,False,19,0,baseline:greedy_human_model,BOTTLENECK,FILLING_POT,"(0, -1)",0.0
cramped_room,greedy_full_task,67,False,20,0,baseline:greedy_human_model,BOTTLENECK,FILLING_POT,interact,0.0
cramped_room,greedy_full_task,67,False,21,0,baseline:greedy_human_model,BOTTLENECK,FILLING_POT,"(1, 0)",0.0
cramped_room,greedy_full_task,67,False,22,0,baseline:greedy_human_model,BOTTLENECK,FILLING_POT,"(-1, 0)",0.0
cramped_room,greedy_full_task,67,False,23,0,baseline:greedy_human_model,BOTTLENECK,FILLING_POT,"(-1, 0)",0.0
cramped_room,greedy_full_task,67,False,24,0,baseline:greedy_human_model,BOTTLENECK,FILLING_POT,"(0, 1)",0.0
cramped_room,greedy_full_task,67,False,25,0,baseline:greedy_human_model,BOTTLENECK,FILLING_POT,"(-1, 0)",0.0
cramped_room,greedy_full_task,67,False,26,0,baseline:greedy_human_model,BOTTLENECK,FILLING_POT,"(0, 1)",0.0
cramped_room,greedy_full_task,67,False,27,0,baseline:greedy_human_model,BOTTLENECK,FILLING_POT,interact,0.0
cramped_room,greedy_full_task,67,False,28,0,baseline:greedy_human_model,BOTTLENECK,FILLING_POT,"(1, 0)",0.0
cramped_room,greedy_full_task,67,False,29,0,baseline:greedy_human_model,BOTTLENECK,FILLING_POT,"(0, -1)",0.0
cramped_room,greedy_full_task,67,False,30,0,baseline:greedy_human_model,BOTTLENECK,FILLING_POT,interact,0.0
cramped_room,greedy_full_task,67,False,31,0,baseline:greedy_human_model,BOTTLENECK,FILLING_POT,"(1, 0)",0.0
cramped_room,greedy_full_task,67,False,32,0,baseline:greedy_human_model,BOTTLENECK,FILLING_POT,"(-1, 0)",0.0
cramped_room,greedy_full_task,67,False,33,0,baseline:greedy_human_model,BOTTLENECK,FILLING_POT,"(0, -1)",0.0
cramped_room,greedy_full_task,67,False,34,0,baseline:greedy_human_model,BOTTLENECK,FILLING_POT,interact,0.0
cramped_room,greedy_full_task,67,False,35,0,baseline:greedy_human_model,BOTTLENECK,FILLING_POT,"(1, 0)",0.0
cramped_room,greedy_full_task,67,False,36,0,baseline:greedy_human_model,BOTTLENECK,PASSIVE,"(-1, 0)",0.0
cramped_room,greedy_full_task,67,False,37,0,baseline:greedy_human_model,BOTTLENECK,PASSIVE,"(0, -1)",0.0
cramped_room,greedy_full_task,67,False,38,0,baseline:greedy_human_model,BOTTLENECK,PASSIVE,interact,0.0
cramped_room,greedy_full_task,67,False,39,0,baseline:greedy_human_model,BOTTLENECK,PASSIVE,"(1, 0)",0.0
cramped_room,greedy_full_task,67,False,40,0,baseline:greedy_human_model,BOTTLENECK,PASSIVE,"(-1, 0)",0.0
cramped_room,greedy_full_task,67,False,41,0,baseline:greedy_human_model,BOTTLENECK,PASSIVE,"(0, -1)",0.0
cramped_room,greedy_full_task,67,False,42,0,baseline:greedy_human_model,BOTTLENECK,PASSIVE,interact,0.0
cramped_room,greedy_full_task,67,False,43,0,baseline:greedy_human_model,BOTTLENECK,PASSIVE,"(0, 1)",0.0
cramped_room,greedy_full_task,67,False,44,0,baseline:greedy_human_model,BOTTLENECK,FILLING_POT,"(1, 0)",0.0
cramped_room,greedy_full_task,67,False,45,0,baseline:greedy_human_model,BOTTLENECK,FILLING_POT,"(0, 1)",0.0
cramped_room,greedy_full_task,67,False,46,0,baseline:greedy_human_model,BOTTLENECK,UNKNOWN,interact,20.0
cramped_room,greedy_full_task,67,False,47,0,baseline:greedy_human_model,BOTTLENECK,UNKNOWN,"(0, -1)",0.0
cramped_room,greedy_full_task,67,False,48,0,baseline:greedy_human_model,BOTTLENECK,FILLING_POT,"(1, 0)",0.0
cramped_room,greedy_full_task,67,False,49,0,baseline:greedy_human_model,BOTTLENECK,FILLING_POT,interact,0.0
cramped_room,greedy_full_task,67,False,50,0,baseline:greedy_human_model,BOTTLENECK,FILLING_POT,"(-1, 0)",0.0
cramped_room,greedy_full_task,67,False,51,0,baseline:greedy_human_model,BOTTLENECK,UNKNOWN,"(-1, 0)",0.0
cramped_room,greedy_full_task,67,False,52,0,baseline:greedy_human_model,BOTTLENECK,UNKNOWN,"(0, -1)",0.0
cramped_room,greedy_full_task,67,False,53,0,baseline:greedy_human_model,BOTTLENECK,FILLING_POT,interact,0.0
cramped_room,greedy_full_task,67,False,54,0,baseline:greedy_human_model,BOTTLENECK,FILLING_POT,interact,0.0
cramped_room,greedy_full_task,67,False,55,0,baseline:greedy_human_model,BOTTLENECK,FILLING_POT,"(0, 1)",0.0
cramped_room,greedy_full_task,67,False,56,0,baseline:greedy_human_model,BOTTLENECK,FILLING_POT,"(-1, 0)",0.0
cramped_room,greedy_full_task,67,False,57,0,baseline:greedy_human_model,BOTTLENECK,FILLING_POT,"(0, 1)",0.0
cramped_room,greedy_full_task,67,False,58,0,baseline:greedy_human_model,BOTTLENECK,FILLING_POT,interact,0.0
cramped_room,greedy_full_task,67,False,59,0,baseline:greedy_human_model,BOTTLENECK,FILLING_POT,"(1, 0)",0.0
cramped_room,greedy_full_task,67,False,60,0,baseline:greedy_human_model,BOTTLENECK,FILLING_POT,"(0, -1)",0.0
cramped_room,greedy_full_task,67,False,61,0,baseline:greedy_human_model,BOTTLENECK,FILLING_POT,interact,0.0
cramped_room,greedy_full_task,67,False,62,0,baseline:greedy_human_model,BOTTLENECK,FILLING_POT,"(1, 0)",0.0
cramped_room,greedy_full_task,67,False,63,0,baseline:greedy_human_model,BOTTLENECK,FILLING_POT,"(-1, 0)",0.0
cramped_room,greedy_full_task,67,False,64,0,baseline:greedy_human_model,BOTTLENECK,FILLING_POT,"(0, -1)",0.0
cramped_room,greedy_full_task,67,False,65,0,baseline:greedy_human_model,BOTTLENECK,FILLING_POT,interact,0.0
cramped_room,greedy_full_task,67,False,66,0,baseline:greedy_human_model,BOTTLENECK,FILLING_POT,"(1, 0)",0.0
cramped_room,greedy_full_task,67,False,67,0,baseline:greedy_human_model,BOTTLENECK,FILLING_POT,"(-1, 0)",0.0
cramped_room,greedy_full_task,67,False,68,0,baseline:greedy_human_model,BOTTLENECK,FILLING_POT,"(0, -1)",0.0
cramped_room,greedy_full_task,67,False,69,0,baseline:greedy_human_model,BOTTLENECK,FILLING_POT,interact,0.0
cramped_room,greedy_full_task,67,False,70,0,baseline:greedy_human_model,BOTTLENECK,FILLING_POT,"(0, 1)",0.0
cramped_room,greedy_full_task,67,False,71,0,baseline:greedy_human_model,BOTTLENECK,FILLING_POT,"(0, -1)",0.0
cramped_room,greedy_full_task,67,False,72,0,baseline:greedy_human_model,BOTTLENECK,PASSIVE,interact,0.0
cramped_room,greedy_full_task,67,False,73,0,baseline:greedy_human_model,BOTTLENECK,PASSIVE,"(1, 0)",0.0
cramped_room,greedy_full_task,67,False,74,0,baseline:greedy_human_model,BOTTLENECK,PASSIVE,"(-1, 0)",0.0
cramped_room,greedy_full_task,67,False,75,0,baseline:greedy_human_model,BOTTLENECK,PASSIVE,"(0, -1)",0.0
cramped_room,greedy_full_task,67,False,76,0,baseline:greedy_human_model,BOTTLENECK,PASSIVE,interact,0.0
cramped_room,greedy_full_task,67,False,77,0,baseline:greedy_human_model,BOTTLENECK,PASSIVE,"(0, 1)",0.0
cramped_room,greedy_full_task,67,False,78,0,baseline:greedy_human_model,BOTTLENECK,FILLING_POT,"(1, 0)",0.0
cramped_room,greedy_full_task,67,False,79,0,baseline:greedy_human_model,BOTTLENECK,FILLING_POT,"(0, 1)",0.0
cramped_room,greedy_full_task,67,False,80,0,baseline:greedy_human_model,BOTTLENECK,UNKNOWN,interact,20.0
cramped_room,greedy_full_task,67,False,81,0,baseline:greedy_human_model,BOTTLENECK,UNKNOWN,"(0, -1)",0.0
cramped_room,greedy_full_task,67,False,82,0,baseline:greedy_human_model,BOTTLENECK,FILLING_POT,"(1, 0)",0.0
