deliveries,layout_id,layout_name,layout_type,partner,role,seed,soups,sparse_return,step,steps
3,named:cramped_room,cramped_room,named,eval_bc_clone,0,42,3,60.0,final,250
0,named:cramped_room,cramped_room,named,eval_bc_clone,1,42,0,0.0,final,250
2,named:cramped_room,cramped_room,named,eval_bc_clone,0,43,2,40.0,final,250
1,named:cramped_room,cramped_room,named,eval_bc_clone,1,43,1,20.0,final,250
3,named:cramped_room,cramped_room,named,eval_bc_clone,0,44,3,60.0,final,250
1,named:cramped_room,cramped_room,named,eval_bc_clone,1,44,1,20.0,final,250
1,named:cramped_room,cramped_room,named,eval_scripted_onion,0,42,1,20.0,final,250
6,named:cramped_room,cramped_room,named,eval_scripted_onion,1,42,6,120.0,final,250
1,named:cramped_room,cramped_room,named,eval_scripted_onion,0,43,1,20.0,final,250
6,named:cramped_room,cramped_room,named,eval_scripted_onion,1,43,6,120.0,final,250
1,named:cramped_room,cramped_room,named,eval_scripted_onion,0,44,1,20.0,final,250
6,named:cramped_room,cramped_room,named,eval_scripted_onion,1,44,6,120.0,final,250
0,named:cramped_room,cramped_room,named,eval_scripted_tomato,0,42,0,0.0,final,250
0,named:cramped_room,cramped_room,named,eval_scripted_tomato,1,42,0,0.0,final,250
0,named:cramped_room,cramped_room,named,eval_scripted_tomato,0,43,0,0.0,final,250
0,named:cramped_room,cramped_room,named,eval_scripted_tomato,1,43,0,0.0,final,250
0,named:cramped_room,cramped_room,named,eval_scripted_tomato,0,44,0,0.0,final,250
0,named:cramped_room,cramped_room,named,eval_scripted_tomato,1,44,0,0.0,final,250
0,named:counter_circuit,counter_circuit,named,eval_bc_clone,0,42,0,0.0,final,250
0,named:counter_circuit,counter_circuit,named,eval_bc_clone,1,42,0,0.0,final,250
0,named:counter_circuit,counter_circuit,named,eval_bc_clone,0,43,0,0.0,final,250
0,named:counter_circuit,counter_circuit,named,eval_bc_clone,1,43,0,0.0,final,250
0,named:counter_circuit,counter_circuit,named,eval_bc_clone,0,44,0,0.0,final,250
0,named:counter_circuit,counter_circuit,named,eval_bc_clone,1,44,0,0.0,final,250
0,named:counter_circuit,counter_circuit,named,eval_scripted_onion,0,42,0,0.0,final,250
0,named:counter_circuit,counter_circuit,named,eval_scripted_onion,1,42,0,0.0,final,250
0,named:counter_circuit,counter_circuit,named,eval_scripted_onion,0,43,0,0.0,final,250
0,named:counter_circuit,counter_circuit,named,eval_scripted_onion,1,43,0,0.0,final,250
0,named:counter_circuit,counter_circuit,named,eval_scripted_onion,0,44,0,0.0,final,250
0,named:counter_circuit,counter_circuit,named,eval_scripted_onion,1,44,0,0.0,final,250
0,named:counter_circuit,counter_circuit,named,eval_scripted_tomato,0,42,0,0.0,final,250
0,named:counter_circuit,counter_circuit,named,eval_scripted_tomato,1,42,0,0.0,final,250
0,named:counter_circuit,counter_circuit,named,eval_scripted_tomato,0,43,0,0.0,final,250
0,named:counter_circuit,counter_circuit,named,eval_scripted_tomato,1,43,0,0.0,final,250
0,named:counter_circuit,counter_circuit,named,eval_scripted_tomato,0,44,0,0.0,final,250
0,named:counter_circuit,counter_circuit,named,eval_scripted_tomato,1,44,0,0.0,final,250
1,named:asymmetric_advantages,asymmetric_advantages,named,eval_bc_clone,0,42,1,20.0,final,250
0,named:asymmetric_advantages,asymmetric_advantages,named,eval_bc_clone,1,42,0,0.0,final,250
1,named:asymmetric_advantages,asymmetric_advantages,named,eval_bc_clone,0,43,1,20.0,final,250
0,named:asymmetric_advantages,asymmetric_advantages,named,eval_bc_clone,1,43,0,0.0,final,250
0,named:asymmetric_advantages,asymmetric_advantages,named,eval_bc_clone,0,44,0,0.0,final,250
0,named:asymmetric_advantages,asymmetric_advantages,named,eval_bc_clone,1,44,0,0.0,final,250
0,named:asymmetric_advantages,asymmetric_advantages,named,eval_scripted_onion,0,42,0,0.0,final,250
0,named:asymmetric_advantages,asymmetric_advantages,named,eval_scripted_onion,1,42,0,0.0,final,250
0,named:asymmetric_advantages,asymmetric_advantages,named,eval_scripted_onion,0,43,0,0.0,final,250
0,named:asymmetric_advantages,asymmetric_advantages,named,eval_scripted_onion,1,43,0,0.0,final,250
0,named:asymmetric_advantages,asymmetric_advantages,named,eval_scripted_onion,0,44,0,0.0,final,250
0,named:asymmetric_advantages,asymmetric_advantages,named,eval_scripted_onion,1,44,0,0.0,final,250
0,named:asymmetric_advantages,asymmetric_advantages,named,eval_scripted_tomato,0,42,0,0.0,final,250
0,named:asymmetric_advantages,asymmetric_advantages,named,eval_scripted_tomato,1,42,0,0.0,final,250
0,named:asymmetric_advantages,asymmetric_advantages,named,eval_scripted_tomato,0,43,0,0.0,final,250
0,named:asymmetric_advantages,asymmetric_advantages,named,eval_scripted_tomato,1,43,0,0.0,final,250
0,named:asymmetric_advantages,asymmetric_advantages,named,eval_scripted_tomato,0,44,0,0.0,final,250
0,named:asymmetric_advantages,asymmetric_advantages,named,eval_scripted_tomato,1,44,0,0.0,final,250
0,named:forced_coordination,forced_coordination,named,eval_bc_clone,0,42,0,0.0,final,250
0,named:forced_coordination,forced_coordination,named,eval_bc_clone,1,42,0,0.0,final,250
0,named:forced_coordination,forced_coordination,named,eval_bc_clone,0,43,0,0.0,final,250
0,named:forced_coordination,forced_coordination,named,eval_bc_clone,1,43,0,0.0,final,250
0,named:forced_coordination,forced_coordination,named,eval_bc_clone,0,44,0,0.0,final,250
0,named:forced_coordination,forced_coordination,named,eval_bc_clone,1,44,0,0.0,final,250
0,named:forced_coordination,forced_coordination,named,eval_scripted_onion,0,42,0,0.0,final,250
0,named:forced_coordination,forced_coordination,named,eval_scripted_onion,1,42,0,0.0,final,250
0,named:forced_coordination,forced_coordination,named,eval_scripted_onion,0,43,0,0.0,final,250
0,named:forced_coordination,forced_coordination,named,eval_scripted_onion,1,43,0,0.0,final,250
0,named:forced_coordination,forced_coordination,named,eval_scripted_onion,0,44,0,0.0,final,250
