step,mean_deliveries,zero_delivery_rate,layout_train_coverage3,partners,pg_loss,value_loss,entropy,elapsed_s
2048,0.25,0.75,0,5,-0.005291616776958108,25.51508402824402,1.1707838326692581,8.48031997680664
4096,0.25,0.8125,0,5,0.0014833563473075628,52.5193589925766,1.3183970972895622,15.55382227897644
6144,0.15,0.9,0,5,-0.0077569090644828975,2.0882296040654182,1.375436581671238,22.5739963054657
8192,0.15,0.9,0,5,-0.0015534142730757594,14.646644949913025,1.4958816394209862,30.04242515563965
10240,0.1,0.9,0,5,-0.00022836978314444423,15.407117307186127,1.4646692872047424,37.52936148643494
12288,0.1,0.9,0,5,-0.016891511855646968,3.4276823848485947,1.4757016971707344,45.69583201408386
14336,0.05,0.95,0,5,-0.0015240820357576013,19.316114008426666,1.5229505449533463,53.65627956390381
16384,0.1,0.9,0,5,-0.0059708595799747854,18.42165645956993,1.496981717646122,61.71463108062744
18432,0.1,0.9,0,5,-0.010685276822187006,2.331944838166237,1.523196019232273,69.4274628162384
20480,0.1,0.95,0,5,-0.0024055787653196603,40.22985005378723,1.5690759718418121,77.48271346092224
22528,0.15,0.9,0,5,-0.0072514522762503475,12.393839955329895,1.5601531267166138,84.84151530265808
24576,0.05,0.95,0,5,-0.011328268650686368,4.8172412514686584,1.5941084995865822,92.23761343955994
26624,0.0,1.0,0,5,-0.01404940994689241,3.542703777551651,1.5888559892773628,99.73151445388794
28672,0.1,0.9,0,5,0.005563000391703099,30.501615166664124,1.5807661190629005,107.35528635978699
30720,0.25,0.8,0,5,-0.0028078287141397595,46.257248759269714,1.5880498066544533,113.43445658683777
32768,0.55,0.7,1,5,-0.0038092798204161227,53.54626750946045,1.5615482851862907,120.83645129203796
34816,0.45,0.8,1,5,-0.011946799437282607,9.351866364479065,1.6209607645869255,129.0390088558197
36864,0.25,0.85,1,5,-0.004834945022594184,50.41348648071289,1.606351725757122,137.1262321472168
38912,0.25,0.8,1,5,-0.009996849054004997,28.53338873386383,1.6062520295381546,144.93671989440918
40960,0.3,0.75,1,5,-0.009394952794536948,20.94889461994171,1.6040979251265526,153.0415620803833
43008,0.15,0.85,1,5,-0.0062251028284663334,25.072205901145935,1.6195015013217926,161.29447388648987
45056,0.15,0.85,1,5,-0.01217992982128635,3.528628148138523,1.636651411652565,168.80988574028015
47104,0.1,0.9,1,5,-0.009477605985011905,10.402205675840378,1.60176470130682,176.419819355011
49152,0.2,0.9,2,5,-0.0030845478177070618,29.502298712730408,1.6436720713973045,184.24941086769104
51200,0.3,0.85,2,5,-0.005719337845221162,12.737526386976242,1.6310250088572502,192.06510496139526
53248,0.15,0.9,2,5,-0.004549299017526209,69.86811888217926,1.6744855418801308,199.76508903503418
55296,0.3,0.85,3,5,-0.00691478734370321,5.883448198437691,1.6467120796442032,207.62836503982544
57344,0.2,0.9,3,5,-0.003348179394379258,29.897321343421936,1.6540647968649864,215.632586479187
59392,0.1,0.9,3,5,-0.010529632796533406,15.34646674990654,1.657746285200119,223.27409434318542
61440,0.25,0.85,4,5,-0.008376119716558605,41.85973024368286,1.641734428703785,230.64184832572937
63488,0.3,0.85,4,5,-0.003880671923980117,50.325786113739014,1.6467657163739204,239.26085925102234
65536,0.35,0.85,5,5,-0.005040702293626964,48.525832653045654,1.6637218669056892,247.00545644760132
67584,0.45,0.8,6,5,-0.004379120888188481,40.43531894683838,1.6629787907004356,254.6509711742401
69632,0.25,0.85,6,5,-0.012344641552772373,9.055103480815887,1.6691839545965195,262.39954805374146
71680,0.2,0.9,6,5,-0.008139800978824496,16.1805659532547,1.6462337374687195,270.4527156352997
73728,0.05,0.95,6,5,-0.013275556382723153,3.792415037751198,1.680012360215187,277.78856682777405
75776,0.05,0.95,6,5,-0.008184246689779684,13.856191575527191,1.6705657616257668,285.83553647994995
77824,0.05,0.95,6,5,-0.018035417306236923,2.1192296519875526,1.699461653828621,292.95056343078613
79872,0.0,1.0,6,5,-0.0015057956334203482,5.567630708217621,1.6512411311268806,300.195951461792
81920,0.0,1.0,6,5,-0.014336177206132561,2.4718916788697243,1.6894286572933197,307.9794511795044
83968,0.0,1.0,6,5,-0.014339785440824926,2.231829412281513,1.6586292088031769,315.1015763282776
86016,0.05,0.95,6,5,-0.0019757698755711317,11.067571848630905,1.6157559677958488,322.8877205848694
88064,0.05,0.95,6,5,-0.0245607077376917,0.9276653751730919,1.6316181868314743,330.59873819351196
90112,0.05,0.95,6,5,-0.013170313148293644,1.0866874121129513,1.617186278104782,337.85459566116333
92160,0.0,1.0,6,5,-0.01460254966514185,0.6907368768006563,1.656282901763916,346.3504467010498
