layout,partner,seeds,mean_return_sparse,std_return_sparse,num_rollouts,mean_soups,median_soups,zero_soup_rate,official_score_mean,first_soup_t_mean,last_soup_t_mean
cramped_room,stay,67|68|69|70|71,10.0,10.0,10.0,0.5,1.0,0.5,6155.0,40.0,40.0
cramped_room,random_motion,67|68|69|70|71,98.0,6.0,10.0,4.9,5.0,0.0,49444.5,43.5,226.2
cramped_room,greedy_full_task,67|68|69|70|71,10.0,10.0,10.0,0.5,1.0,0.5,6155.0,40.0,40.0
cramped_room,greedy_full_task_noise_015,67|68|69|70|71,40.0,33.46640106136302,10.0,2.0,3.0,0.3,20655.9,48.714285714285715,176.42857142857142
coordination_ring,stay,67|68|69|70|71,0.0,0.0,10.0,0.0,0.0,1.0,0.0,-1.0,-1.0
coordination_ring,random_motion,67|68|69|70|71,0.0,0.0,10.0,0.0,0.0,1.0,0.0,-1.0,-1.0
coordination_ring,greedy_full_task,67|68|69|70|71,100.0,20.0,10.0,5.0,6.0,0.0,50489.5,75.5,218.5
coordination_ring,greedy_full_task_noise_015,67|68|69|70|71,42.0,34.0,10.0,2.1,2.0,0.3,21603.6,90.57142857142857,179.71428571428572
forced_coordination,stay,67|68|69|70|71,0.0,0.0,10.0,0.0,0.0,1.0,0.0,-1.0,-1.0
forced_coordination,random_motion,67|68|69|70|71,0.0,0.0,10.0,0.0,0.0,1.0,0.0,-1.0,-1.0
forced_coordination,greedy_full_task,67|68|69|70|71,0.0,0.0,10.0,0.0,0.0,1.0,0.0,-1.0,-1.0
forced_coordination,greedy_full_task_noise_015,67|68|69|70|71,4.0,12.0,10.0,0.2,0.0,0.9,2105.4,146.0,155.0
