action_0,action_1,done,episode_id,layout_name,reward,role_swap,shaped_r_by_agent,sparse_r_by_agent,timestep
↑,stay,False,0,latam_room,0.0,False,"[0, 0]","[0, 0]",0
←,stay,False,0,latam_room,0.0,False,"[0, 0]","[0, 0]",1
interact,stay,False,0,latam_room,0.0,False,"[0, 0]","[0, 0]",2
↑,stay,False,0,latam_room,0.0,False,"[0, 0]","[0, 0]",3
interact,stay,False,0,latam_room,0.0,False,"[3, 0]","[0, 0]",4
←,stay,False,0,latam_room,0.0,False,"[0, 0]","[0, 0]",5
interact,stay,False,0,latam_room,0.0,False,"[0, 0]","[0, 0]",6
↑,stay,False,0,latam_room,0.0,False,"[0, 0]","[0, 0]",7
interact,stay,False,0,latam_room,0.0,False,"[3, 0]","[0, 0]",8
←,stay,False,0,latam_room,0.0,False,"[0, 0]","[0, 0]",9
interact,stay,False,0,latam_room,0.0,False,"[0, 0]","[0, 0]",10
↑,stay,False,0,latam_room,0.0,False,"[0, 0]","[0, 0]",11
interact,stay,False,0,latam_room,0.0,False,"[3, 0]","[0, 0]",12
←,stay,False,0,latam_room,0.0,False,"[0, 0]","[0, 0]",13
interact,stay,False,0,latam_room,0.0,False,"[0, 0]","[0, 0]",14
→,stay,False,0,latam_room,0.0,False,"[0, 0]","[0, 0]",15
↑,stay,False,0,latam_room,0.0,False,"[0, 0]","[0, 0]",16
interact,stay,False,0,latam_room,0.0,False,"[3, 0]","[0, 0]",17
←,stay,False,0,latam_room,0.0,False,"[0, 0]","[0, 0]",18
interact,stay,False,0,latam_room,0.0,False,"[0, 0]","[0, 0]",19
→,stay,False,0,latam_room,0.0,False,"[0, 0]","[0, 0]",20
↑,stay,False,0,latam_room,0.0,False,"[0, 0]","[0, 0]",21
interact,stay,False,0,latam_room,0.0,False,"[3, 0]","[0, 0]",22
←,stay,False,0,latam_room,0.0,False,"[0, 0]","[0, 0]",23
interact,stay,False,0,latam_room,0.0,False,"[0, 0]","[0, 0]",24
→,stay,False,0,latam_room,0.0,False,"[0, 0]","[0, 0]",25
↑,stay,False,0,latam_room,0.0,False,"[0, 0]","[0, 0]",26
interact,stay,False,0,latam_room,0.0,False,"[3, 0]","[0, 0]",27
interact,stay,False,0,latam_room,0.0,False,"[0, 0]","[0, 0]",28
←,stay,False,0,latam_room,0.0,False,"[0, 0]","[0, 0]",29
↑,stay,False,0,latam_room,0.0,False,"[0, 0]","[0, 0]",30
interact,stay,False,0,latam_room,0.0,False,"[0, 0]","[0, 0]",31
↓,stay,False,0,latam_room,0.0,False,"[0, 0]","[0, 0]",32
interact,stay,False,0,latam_room,0.0,False,"[3, 0]","[0, 0]",33
↑,stay,False,0,latam_room,0.0,False,"[0, 0]","[0, 0]",34
interact,stay,False,0,latam_room,0.0,False,"[0, 0]","[0, 0]",35
interact,stay,False,0,latam_room,0.0,False,"[0, 0]","[0, 0]",36
interact,stay,False,0,latam_room,0.0,False,"[0, 0]","[0, 0]",37
interact,stay,False,0,latam_room,0.0,False,"[0, 0]","[0, 0]",38
interact,stay,False,0,latam_room,0.0,False,"[0, 0]","[0, 0]",39
interact,stay,False,0,latam_room,0.0,False,"[0, 0]","[0, 0]",40
interact,stay,False,0,latam_room,0.0,False,"[0, 0]","[0, 0]",41
interact,stay,False,0,latam_room,0.0,False,"[0, 0]","[0, 0]",42
interact,stay,False,0,latam_room,0.0,False,"[0, 0]","[0, 0]",43
interact,stay,False,0,latam_room,0.0,False,"[0, 0]","[0, 0]",44
interact,stay,False,0,latam_room,0.0,False,"[0, 0]","[0, 0]",45
→,stay,False,0,latam_room,0.0,False,"[0, 0]","[0, 0]",46
↑,stay,False,0,latam_room,0.0,False,"[0, 0]","[0, 0]",47
interact,stay,False,0,latam_room,0.0,False,"[5, 0]","[0, 0]",48
↓,stay,False,0,latam_room,0.0,False,"[0, 0]","[0, 0]",49
↓,←,False,0,latam_room,0.0,False,"[0, 0]","[0, 0]",50
interact,stay,False,0,latam_room,30.0,False,"[0, 0]","[30, 0]",51
←,stay,False,0,latam_room,0.0,False,"[0, 0]","[0, 0]",52
←,stay,False,0,latam_room,0.0,False,"[0, 0]","[0, 0]",53
←,stay,False,0,latam_room,0.0,False,"[0, 0]","[0, 0]",54
←,stay,False,0,latam_room,0.0,False,"[0, 0]","[0, 0]",55
←,↑,False,0,latam_room,0.0,False,"[0, 0]","[0, 0]",56
↓,stay,False,0,latam_room,0.0,False,"[0, 0]","[0, 0]",57
interact,stay,False,0,latam_room,0.0,False,"[3, 0]","[0, 0]",58
↑,→,False,0,latam_room,0.0,False,"[0, 0]","[0, 0]",59
interact,stay,False,0,latam_room,0.0,False,"[5, 0]","[0, 0]",60
