action_0,action_1,done,episode_id,layout_name,reward,role_swap,shaped_r_by_agent,sparse_r_by_agent,timestep
stay,stay,False,0,maze_kitchen,0.0,False,"[0, 0]","[0, 0]",0
←,↑,False,0,maze_kitchen,0.0,False,"[0, 0]","[0, 0]",1
↓,stay,False,0,maze_kitchen,0.0,False,"[0, 0]","[0, 0]",2
→,↑,False,0,maze_kitchen,0.0,False,"[0, 0]","[0, 0]",3
↓,stay,False,0,maze_kitchen,0.0,False,"[0, 0]","[0, 0]",4
→,↑,False,0,maze_kitchen,0.0,False,"[0, 0]","[0, 0]",5
→,stay,False,0,maze_kitchen,0.0,False,"[0, 0]","[0, 0]",6
↑,interact,False,0,maze_kitchen,0.0,False,"[0, 0]","[0, 0]",7
←,stay,False,0,maze_kitchen,0.0,False,"[0, 0]","[0, 0]",8
↑,↓,False,0,maze_kitchen,0.0,False,"[0, 0]","[0, 0]",9
↓,stay,False,0,maze_kitchen,0.0,False,"[0, 0]","[0, 0]",10
←,↓,False,0,maze_kitchen,0.0,False,"[0, 0]","[0, 0]",11
←,stay,False,0,maze_kitchen,0.0,False,"[0, 0]","[0, 0]",12
↓,↓,False,0,maze_kitchen,0.0,False,"[0, 0]","[0, 0]",13
stay,stay,False,0,maze_kitchen,0.0,False,"[0, 0]","[0, 0]",14
↓,stay,False,0,maze_kitchen,0.0,False,"[0, 0]","[0, 0]",15
→,←,False,0,maze_kitchen,0.0,False,"[0, 0]","[0, 0]",16
↑,↑,False,0,maze_kitchen,0.0,False,"[0, 0]","[0, 0]",17
←,stay,False,0,maze_kitchen,0.0,False,"[0, 0]","[0, 0]",18
→,←,False,0,maze_kitchen,0.0,False,"[0, 0]","[0, 0]",19
stay,stay,False,0,maze_kitchen,0.0,False,"[0, 0]","[0, 0]",20
↓,↓,False,0,maze_kitchen,0.0,False,"[0, 0]","[0, 0]",21
→,stay,False,0,maze_kitchen,0.0,False,"[0, 0]","[0, 0]",22
↑,interact,False,0,maze_kitchen,0.0,False,"[0, 0]","[0, 0]",23
↓,stay,False,0,maze_kitchen,0.0,False,"[0, 0]","[0, 0]",24
←,→,False,0,maze_kitchen,0.0,False,"[0, 0]","[0, 0]",25
stay,stay,False,0,maze_kitchen,0.0,False,"[0, 0]","[0, 0]",26
↑,→,False,0,maze_kitchen,0.0,False,"[0, 0]","[0, 0]",27
↑,stay,False,0,maze_kitchen,0.0,False,"[0, 0]","[0, 0]",28
↑,↑,False,0,maze_kitchen,0.0,False,"[0, 0]","[0, 0]",29
stay,stay,False,0,maze_kitchen,0.0,False,"[0, 0]","[0, 0]",30
stay,↑,False,0,maze_kitchen,0.0,False,"[0, 0]","[0, 0]",31
←,stay,False,0,maze_kitchen,0.0,False,"[0, 0]","[0, 0]",32
←,interact,False,0,maze_kitchen,0.0,False,"[0, 0]","[0, 0]",33
↑,stay,False,0,maze_kitchen,0.0,False,"[0, 0]","[0, 0]",34
→,↓,False,0,maze_kitchen,0.0,False,"[0, 0]","[0, 0]",35
→,stay,False,0,maze_kitchen,0.0,False,"[0, 0]","[0, 0]",36
→,↓,False,0,maze_kitchen,0.0,False,"[0, 0]","[0, 0]",37
↑,stay,False,0,maze_kitchen,0.0,False,"[0, 0]","[0, 0]",38
↓,←,False,0,maze_kitchen,0.0,False,"[0, 0]","[0, 0]",39
→,stay,False,0,maze_kitchen,0.0,False,"[0, 0]","[0, 0]",40
stay,←,False,0,maze_kitchen,0.0,False,"[0, 0]","[0, 0]",41
↓,stay,False,0,maze_kitchen,0.0,False,"[0, 0]","[0, 0]",42
↑,←,False,0,maze_kitchen,0.0,False,"[0, 0]","[0, 0]",43
stay,stay,False,0,maze_kitchen,0.0,False,"[0, 0]","[0, 0]",44
↑,↓,False,0,maze_kitchen,0.0,False,"[0, 0]","[0, 0]",45
