action_0,action_1,done,episode_id,layout_name,reward,role_swap,shaped_r_by_agent,sparse_r_by_agent,timestep
↑,stay,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",0
←,stay,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",1
interact,stay,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",2
→,stay,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",3
↑,stay,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",4
interact,stay,False,0,cramped_room,0.0,False,"[3, 0]","[0, 0]",5
←,stay,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",6
interact,stay,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",7
→,stay,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",8
↑,stay,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",9
interact,stay,False,0,cramped_room,0.0,False,"[3, 0]","[0, 0]",10
stay,stay,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",11
←,stay,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",12
stay,stay,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",13
interact,↓,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",14
→,stay,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",15
↑,stay,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",16
interact,←,False,0,cramped_room,0.0,False,"[3, 0]","[0, 0]",17
interact,stay,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",18
stay,stay,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",19
←,←,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",20
←,stay,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",21
interact,stay,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",22
stay,→,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",23
stay,stay,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",24
stay,stay,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",25
stay,stay,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",26
stay,stay,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",27
stay,↑,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",28
stay,stay,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",29
stay,↓,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",30
stay,←,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",31
stay,stay,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",32
stay,↓,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",33
stay,stay,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",34
stay,interact,False,0,cramped_room,0.0,False,"[0, 3]","[0, 0]",35
stay,stay,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",36
stay,→,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",37
stay,stay,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",38
stay,↑,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",39
stay,stay,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",40
stay,interact,False,0,cramped_room,0.0,False,"[0, 5]","[0, 0]",41
↑,stay,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",42
→,→,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",43
↑,stay,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",44
interact,↓,False,0,cramped_room,0.0,False,"[3, 0]","[0, 0]",45
←,stay,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",46
interact,interact,False,0,cramped_room,20.0,False,"[0, 0]","[0, 20]",47
→,stay,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",48
↑,↑,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",49
interact,stay,False,0,cramped_room,0.0,False,"[3, 0]","[0, 0]",50
stay,→,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",51
←,interact,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",52
stay,stay,False,0,cramped_room,0.0,False,"[0, 0]","[0, 0]",53
