layout,source,layout_file,episodes,mean_soups,median_soups,p_at_least_1_soup,zero_rate,official_score_mean,official_score_p10,min_soups,max_soups,status,notes,output_dir
asymmetric_advantages,builtin,,10,5.9,6.0,1.0,0.0,59401.9,59333.2,5.0,6.0,OK,,C:\Users\USER\Desktop\DL_FINAL\dl-overcooked\outputs\layout_sweep_score_first_portfolio\asymmetric_advantages
asymmetric_advantages_tomato,builtin,,10,3.0,3.0,1.0,0.0,32079.0,32079.0,3.0,3.0,OK,,C:\Users\USER\Desktop\DL_FINAL\dl-overcooked\outputs\layout_sweep_score_first_portfolio\asymmetric_advantages_tomato
bonus_order_test,builtin,,10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,LOW,0 soups in every measured seed; current routing/partner pairing cannot complete this layout.,C:\Users\USER\Desktop\DL_FINAL\dl-overcooked\outputs\layout_sweep_score_first_portfolio\bonus_order_test
bottleneck,builtin,,10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,LOW,0 soups in every measured seed; current routing/partner pairing cannot complete this layout.,C:\Users\USER\Desktop\DL_FINAL\dl-overcooked\outputs\layout_sweep_score_first_portfolio\bottleneck
centre_objects,builtin,,10,1.0,1.0,1.0,0.0,12343.0,12343.0,1.0,1.0,LOW,It delivers soups but too slowly; this layout needs layout-specific routing optimization.,C:\Users\USER\Desktop\DL_FINAL\dl-overcooked\outputs\layout_sweep_score_first_portfolio\centre_objects
centre_pots,builtin,,10,8.0,8.0,1.0,0.0,80526.0,80526.0,8.0,8.0,OK,,C:\Users\USER\Desktop\DL_FINAL\dl-overcooked\outputs\layout_sweep_score_first_portfolio\centre_pots
chavez_room,file,C:\Users\USER\Desktop\DL_FINAL\dl-overcooked\configs\layouts\chavez_room.layout,10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,LOW,0 soups in every measured seed; current routing/partner pairing cannot complete this layout.,C:\Users\USER\Desktop\DL_FINAL\dl-overcooked\outputs\layout_sweep_score_first_portfolio\chavez_room
coordination_ring,builtin,,10,8.0,8.0,1.0,0.0,80258.0,80258.0,8.0,8.0,OK,,C:\Users\USER\Desktop\DL_FINAL\dl-overcooked\outputs\layout_sweep_score_first_portfolio\coordination_ring
counter_circuit,builtin,,10,5.0,5.0,1.0,0.0,50955.0,50955.0,5.0,5.0,OK,,C:\Users\USER\Desktop\DL_FINAL\dl-overcooked\outputs\layout_sweep_score_first_portfolio\counter_circuit
counter_circuit_o_1order,builtin,,10,3.0,3.0,1.0,0.0,31066.0,31066.0,3.0,3.0,OK,,C:\Users\USER\Desktop\DL_FINAL\dl-overcooked\outputs\layout_sweep_score_first_portfolio\counter_circuit_o_1order
cramped_corridor,builtin,,10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,LOW,0 soups in every measured seed; current routing/partner pairing cannot complete this layout.,C:\Users\USER\Desktop\DL_FINAL\dl-overcooked\outputs\layout_sweep_score_first_portfolio\cramped_corridor
cramped_room,builtin,,10,6.2,6.0,1.0,0.0,62428.1,60414.1,6.0,7.0,OK,,C:\Users\USER\Desktop\DL_FINAL\dl-overcooked\outputs\layout_sweep_score_first_portfolio\cramped_room
cramped_room_o_3orders,builtin,,10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,LOW,0 soups in every measured seed; current routing/partner pairing cannot complete this layout.,C:\Users\USER\Desktop\DL_FINAL\dl-overcooked\outputs\layout_sweep_score_first_portfolio\cramped_room_o_3orders
cramped_room_tomato,builtin,,10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,LOW,0 soups in every measured seed; current routing/partner pairing cannot complete this layout.,C:\Users\USER\Desktop\DL_FINAL\dl-overcooked\outputs\layout_sweep_score_first_portfolio\cramped_room_tomato
diagonal_run,file,C:\Users\USER\Desktop\DL_FINAL\dl-overcooked\configs\layouts\diagonal_run.layout,10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,LOW,0 soups in every measured seed; current routing/partner pairing cannot complete this layout.,C:\Users\USER\Desktop\DL_FINAL\dl-overcooked\outputs\layout_sweep_score_first_portfolio\diagonal_run
