policy,layout,partner,num_rollouts,attempts,p_at_least_1_soup,p_group_mean_ge_1,p_group_mean_ge_2,p_group_mean_ge_3,mean_soups,median_soups,p10_soups,official_score_mean,official_score_p10,zero_rate,role0_mean_soups,role1_mean_soups,worst_role_mean_soups,output_dir
greedy_full_task,cramped_room,greedy_full_task,6,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,C:\Users\USER\Desktop\DL_FINAL\dl-overcooked\outputs\competition_protocol\greedy_full_task_cramped_room_greedy_full_task
greedy_full_task,cramped_room,greedy_full_task_noise_015,6,6.0,1.0,1.0,1.0,1.0,4.666666666666667,4.5,3.5,47056.833333333336,35537.0,0.0,4.333333333333333,5.0,4.333333333333333,C:\Users\USER\Desktop\DL_FINAL\dl-overcooked\outputs\competition_protocol\greedy_full_task_cramped_room_greedy_full_task_noise_015
greedy_full_task,cramped_room,random_motion,6,6.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,50414.5,50249.0,0.0,5.0,5.0,5.0,C:\Users\USER\Desktop\DL_FINAL\dl-overcooked\outputs\competition_protocol\greedy_full_task_cramped_room_random_motion
greedy_full_task,cramped_room,stay,6,6.0,0.5,0.0,0.0,0.0,0.5,0.5,0.0,6155.0,0.0,0.5,1.0,0.0,0.0,C:\Users\USER\Desktop\DL_FINAL\dl-overcooked\outputs\competition_protocol\greedy_full_task_cramped_room_stay
greedy_full_task,coordination_ring,greedy_full_task,6,6.0,1.0,1.0,1.0,1.0,8.0,8.0,8.0,80258.0,80258.0,0.0,8.0,8.0,8.0,C:\Users\USER\Desktop\DL_FINAL\dl-overcooked\outputs\competition_protocol\greedy_full_task_coordination_ring_greedy_full_task
greedy_full_task,coordination_ring,greedy_full_task_noise_015,6,6.0,0.8333333333333334,1.0,1.0,1.0,4.0,5.0,1.0,40527.5,10894.5,0.16666666666666666,4.666666666666667,3.3333333333333335,3.3333333333333335,C:\Users\USER\Desktop\DL_FINAL\dl-overcooked\outputs\competition_protocol\greedy_full_task_coordination_ring_greedy_full_task_noise_015
greedy_full_task,coordination_ring,random_motion,6,6.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,30270.0,30270.0,0.0,3.0,3.0,3.0,C:\Users\USER\Desktop\DL_FINAL\dl-overcooked\outputs\competition_protocol\greedy_full_task_coordination_ring_random_motion
greedy_full_task,coordination_ring,stay,6,6.0,0.5,1.0,0.5,0.0,2.0,2.0,0.0,20301.5,0.0,0.5,0.0,4.0,0.0,C:\Users\USER\Desktop\DL_FINAL\dl-overcooked\outputs\competition_protocol\greedy_full_task_coordination_ring_stay
greedy_full_task,forced_coordination,greedy_full_task,6,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,C:\Users\USER\Desktop\DL_FINAL\dl-overcooked\outputs\competition_protocol\greedy_full_task_forced_coordination_greedy_full_task
greedy_full_task,forced_coordination,greedy_full_task_noise_015,6,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,C:\Users\USER\Desktop\DL_FINAL\dl-overcooked\outputs\competition_protocol\greedy_full_task_forced_coordination_greedy_full_task_noise_015
greedy_full_task,forced_coordination,random_motion,6,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,C:\Users\USER\Desktop\DL_FINAL\dl-overcooked\outputs\competition_protocol\greedy_full_task_forced_coordination_random_motion
greedy_full_task,forced_coordination,stay,6,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,C:\Users\USER\Desktop\DL_FINAL\dl-overcooked\outputs\competition_protocol\greedy_full_task_forced_coordination_stay
