policy,layout,partner,num_rollouts,attempts,p_at_least_1_soup,p_group_mean_ge_1,p_group_mean_ge_2,p_group_mean_ge_3,mean_soups,median_soups,p10_soups,official_score_mean,official_score_p10,zero_rate,role0_mean_soups,role1_mean_soups,worst_role_mean_soups,output_dir
greedy_human_model,cramped_room,greedy_full_task,6,6.0,1.0,1.0,1.0,1.0,6.166666666666667,6.0,6.0,62114.333333333336,60448.0,0.0,6.0,6.333333333333333,6.0,C:\Users\USER\Desktop\DL_FINAL\dl-overcooked\outputs\competition_protocol\greedy_human_model_cramped_room_greedy_full_task
greedy_human_model,cramped_room,greedy_full_task_noise_015,6,6.0,1.0,1.0,1.0,1.0,5.5,6.0,4.5,55462.0,45589.0,0.0,5.333333333333333,5.666666666666667,5.333333333333333,C:\Users\USER\Desktop\DL_FINAL\dl-overcooked\outputs\competition_protocol\greedy_human_model_cramped_room_greedy_full_task_noise_015
greedy_human_model,cramped_room,random_motion,6,6.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,50355.333333333336,50220.0,0.0,5.0,5.0,5.0,C:\Users\USER\Desktop\DL_FINAL\dl-overcooked\outputs\competition_protocol\greedy_human_model_cramped_room_random_motion
greedy_human_model,cramped_room,stay,6,6.0,0.5,1.0,0.5,0.0,2.1666666666666665,2.0,0.0,21919.0,0.0,0.5,4.333333333333333,0.0,0.0,C:\Users\USER\Desktop\DL_FINAL\dl-overcooked\outputs\competition_protocol\greedy_human_model_cramped_room_stay
greedy_human_model,coordination_ring,greedy_full_task,6,6.0,1.0,1.0,1.0,1.0,5.833333333333333,6.5,4.0,59023.0,41171.0,0.0,5.0,6.666666666666667,5.0,C:\Users\USER\Desktop\DL_FINAL\dl-overcooked\outputs\competition_protocol\greedy_human_model_coordination_ring_greedy_full_task
greedy_human_model,coordination_ring,greedy_full_task_noise_015,6,6.0,1.0,1.0,1.0,1.0,5.666666666666667,6.0,5.0,57122.833333333336,50494.0,0.0,6.0,5.333333333333333,5.333333333333333,C:\Users\USER\Desktop\DL_FINAL\dl-overcooked\outputs\competition_protocol\greedy_human_model_coordination_ring_greedy_full_task_noise_015
greedy_human_model,coordination_ring,random_motion,6,6.0,1.0,1.0,1.0,0.0,2.5,2.5,2.0,25672.833333333332,20549.0,0.0,2.0,3.0,2.0,C:\Users\USER\Desktop\DL_FINAL\dl-overcooked\outputs\competition_protocol\greedy_human_model_coordination_ring_random_motion
greedy_human_model,coordination_ring,stay,6,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,C:\Users\USER\Desktop\DL_FINAL\dl-overcooked\outputs\competition_protocol\greedy_human_model_coordination_ring_stay
greedy_human_model,forced_coordination,greedy_full_task,6,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,C:\Users\USER\Desktop\DL_FINAL\dl-overcooked\outputs\competition_protocol\greedy_human_model_forced_coordination_greedy_full_task
greedy_human_model,forced_coordination,greedy_full_task_noise_015,6,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,C:\Users\USER\Desktop\DL_FINAL\dl-overcooked\outputs\competition_protocol\greedy_human_model_forced_coordination_greedy_full_task_noise_015
greedy_human_model,forced_coordination,random_motion,6,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,C:\Users\USER\Desktop\DL_FINAL\dl-overcooked\outputs\competition_protocol\greedy_human_model_forced_coordination_random_motion
greedy_human_model,forced_coordination,stay,6,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,C:\Users\USER\Desktop\DL_FINAL\dl-overcooked\outputs\competition_protocol\greedy_human_model_forced_coordination_stay
