epoch,train_loss,train_acc,val_loss,val_acc,elapsed_s
1,1.458533,0.4302,1.30379,0.4597,4.97
2,1.215006,0.4954,1.237748,0.4717,3.83
3,1.136896,0.5196,1.188937,0.4948,3.83
4,1.095225,0.5342,1.170905,0.4795,3.91
5,1.064818,0.5444,1.157734,0.5009,3.94
6,1.040895,0.5517,1.157399,0.4919,4.04
7,1.019511,0.5606,1.158331,0.4952,4.0
8,1.00066,0.5678,1.143676,0.5143,3.92
9,0.986872,0.5712,1.144113,0.5025,4.12
10,0.975201,0.5755,1.140709,0.5102,3.91
11,0.960563,0.5806,1.137656,0.5036,4.04
12,0.949286,0.5844,1.143319,0.4958,3.75
13,0.938094,0.5896,1.142862,0.5038,3.58
14,0.929784,0.5923,1.145517,0.5119,3.64
15,0.917902,0.5945,1.147717,0.5185,3.6
16,0.906862,0.6007,1.147726,0.5084,3.63
17,0.901545,0.6017,1.132557,0.5096,3.87
18,0.890992,0.6038,1.132425,0.5209,3.62
19,0.884854,0.6051,1.13676,0.5325,3.81
20,0.876291,0.6093,1.139242,0.5241,3.63
21,0.868845,0.6118,1.142117,0.5268,3.67
22,0.85951,0.6168,1.14406,0.5221,3.61
23,0.852939,0.6178,1.153263,0.5262,3.75
24,0.846476,0.6204,1.140122,0.5316,3.57
25,0.838484,0.6242,1.138664,0.5143,3.68
26,0.832302,0.626,1.151543,0.513,3.67
27,0.826716,0.6283,1.157666,0.5135,3.76
28,0.818962,0.6305,1.152209,0.521,3.59
29,0.817,0.6305,1.15614,0.5355,3.86
30,0.807727,0.6348,1.161928,0.5259,3.59
